sourceOddCore,destinationOddCore,count
1,1,1
3,5,1
5,1,1
7,11,1
9,7,1
11,17,1
13,5,1
15,23,1
17,13,1
19,29,1
21,1,1
23,35,1
25,19,1
27,41,1
29,11,1
31,47,1
33,25,1
35,53,1
37,7,1
39,59,1
41,31,1
43,65,1
45,17,1
47,71,1
49,37,1
51,77,1
53,5,1
55,83,1
57,43,1
59,89,1
61,23,1
63,95,1
65,49,1
67,101,1
69,13,1
71,107,1
73,55,1
75,113,1
77,29,1
79,119,1
81,61,1
83,125,1
85,1,1
87,131,1
89,67,1
91,137,1
93,35,1
95,143,1
97,73,1
99,149,1
101,19,1
103,155,1
105,79,1
107,161,1
109,41,1
111,167,1
113,85,1
115,173,1
117,11,1
119,179,1
121,91,1
123,185,1
125,47,1
127,191,1
129,97,1
131,197,1
133,25,1
135,203,1
137,103,1
139,209,1
141,53,1
143,215,1
145,109,1
147,221,1
149,7,1
151,227,1
153,115,1
155,233,1
157,59,1
159,239,1
161,121,1
163,245,1
165,31,1
167,251,1
169,127,1
171,257,1
173,65,1
175,263,1
177,133,1
179,269,1
181,17,1
183,275,1
185,139,1
187,281,1
189,71,1
191,287,1
193,145,1
195,293,1
197,37,1
199,299,1
201,151,1
203,305,1
205,77,1
207,311,1
209,157,1
211,317,1
213,5,1
215,323,1
217,163,1
219,329,1
221,83,1
223,335,1
225,169,1
227,341,1
229,43,1
231,347,1
233,175,1
235,353,1
237,89,1
239,359,1
241,181,1
243,365,1
245,23,1
247,371,1
249,187,1
251,377,1
253,95,1
255,383,1
257,193,1
259,389,1
261,49,1
263,395,1
265,199,1
267,401,1
269,101,1
271,407,1
273,205,1
275,413,1
277,13,1
279,419,1
281,211,1
283,425,1
285,107,1
287,431,1
289,217,1
291,437,1
293,55,1
295,443,1
297,223,1
299,449,1
301,113,1
303,455,1
305,229,1
307,461,1
309,29,1
311,467,1
313,235,1
315,473,1
317,119,1
319,479,1
321,241,1
323,485,1
325,61,1
327,491,1
329,247,1
331,497,1
333,125,1
335,503,1
337,253,1
339,509,1
341,1,1
343,515,1
345,259,1
347,521,1
349,131,1
351,527,1
353,265,1
355,533,1
357,67,1
359,539,1
361,271,1
363,545,1
365,137,1
367,551,1
369,277,1
371,557,1
373,35,1
375,563,1
377,283,1
379,569,1
381,143,1
383,575,1
385,289,1
387,581,1
389,73,1
391,587,1
393,295,1
395,593,1
397,149,1
399,599,1
401,301,1
403,605,1
405,19,1
407,611,1
409,307,1
411,617,1
413,155,1
415,623,1
417,313,1
419,629,1
421,79,1
423,635,1
425,319,1
427,641,1
429,161,1
431,647,1
433,325,1
435,653,1
437,41,1
439,659,1
441,331,1
443,665,1
445,167,1
447,671,1
449,337,1
451,677,1
453,85,1
455,683,1
457,343,1
459,689,1
461,173,1
463,695,1
465,349,1
467,701,1
469,11,1
471,707,1
473,355,1
475,713,1
477,179,1
479,719,1
481,361,1
483,725,1
485,91,1
487,731,1
489,367,1
491,737,1
493,185,1
495,743,1
497,373,1
499,749,1
501,47,1
503,755,1
505,379,1
507,761,1
509,191,1
511,767,1
513,385,1
515,773,1
517,97,1
519,779,1
521,391,1
523,785,1
525,197,1
527,791,1
529,397,1
531,797,1
533,25,1
535,803,1
537,403,1
539,809,1
541,203,1
543,815,1
545,409,1
547,821,1
549,103,1
551,827,1
553,415,1
555,833,1
557,209,1
559,839,1
561,421,1
563,845,1
565,53,1
567,851,1
569,427,1
571,857,1
573,215,1
575,863,1
577,433,1
579,869,1
581,109,1
583,875,1
585,439,1
587,881,1
589,221,1
591,887,1
593,445,1
595,893,1
597,7,1
599,899,1
601,451,1
603,905,1
605,227,1
607,911,1
609,457,1
611,917,1
613,115,1
615,923,1
617,463,1
619,929,1
621,233,1
623,935,1
625,469,1
627,941,1
629,59,1
631,947,1
633,475,1
635,953,1
637,239,1
639,959,1
641,481,1
643,965,1
645,121,1
647,971,1
649,487,1
651,977,1
653,245,1
655,983,1
657,493,1
659,989,1
661,31,1
663,995,1
665,499,1
667,1001,1
669,251,1
671,1007,1
673,505,1
675,1013,1
677,127,1
679,1019,1
681,511,1
683,1025,1
685,257,1
687,1031,1
689,517,1
691,1037,1
693,65,1
695,1043,1
697,523,1
699,1049,1
701,263,1
703,1055,1
705,529,1
707,1061,1
709,133,1
711,1067,1
713,535,1
715,1073,1
717,269,1
719,1079,1
721,541,1
723,1085,1
725,17,1
727,1091,1
729,547,1
731,1097,1
733,275,1
735,1103,1
737,553,1
739,1109,1
741,139,1
743,1115,1
745,559,1
747,1121,1
749,281,1
751,1127,1
753,565,1
755,1133,1
757,71,1
759,1139,1
761,571,1
763,1145,1
765,287,1
767,1151,1
769,577,1
771,1157,1
773,145,1
775,1163,1
777,583,1
779,1169,1
781,293,1
783,1175,1
785,589,1
787,1181,1
789,37,1
791,1187,1
793,595,1
795,1193,1
797,299,1
799,1199,1
801,601,1
803,1205,1
805,151,1
807,1211,1
809,607,1
811,1217,1
813,305,1
815,1223,1
817,613,1
819,1229,1
821,77,1
823,1235,1
825,619,1
827,1241,1
829,311,1
831,1247,1
833,625,1
835,1253,1
837,157,1
839,1259,1
841,631,1
843,1265,1
845,317,1
847,1271,1
849,637,1
851,1277,1
853,5,1
855,1283,1
857,643,1
859,1289,1
861,323,1
863,1295,1
865,649,1
867,1301,1
869,163,1
871,1307,1
873,655,1
875,1313,1
877,329,1
879,1319,1
881,661,1
883,1325,1
885,83,1
887,1331,1
889,667,1
891,1337,1
893,335,1
895,1343,1
897,673,1
899,1349,1
901,169,1
903,1355,1
905,679,1
907,1361,1
909,341,1
911,1367,1
913,685,1
915,1373,1
917,43,1
919,1379,1
921,691,1
923,1385,1
925,347,1
927,1391,1
929,697,1
931,1397,1
933,175,1
935,1403,1
937,703,1
939,1409,1
941,353,1
943,1415,1
945,709,1
947,1421,1
949,89,1
951,1427,1
953,715,1
955,1433,1
957,359,1
959,1439,1
961,721,1
963,1445,1
965,181,1
967,1451,1
969,727,1
971,1457,1
973,365,1
975,1463,1
977,733,1
979,1469,1
981,23,1
983,1475,1
985,739,1
987,1481,1
989,371,1
991,1487,1
993,745,1
995,1493,1
997,187,1
999,1499,1
1001,751,1
1003,1505,1
1007,1511,1
1013,95,1
1019,1529,1
1021,383,1
1025,769,1
1031,1547,1
1037,389,1
1039,1559,1
1043,1565,1
1049,787,1
1055,1583,1
1057,793,1
1061,199,1
1063,1595,1
1067,1601,1
1073,805,1
1075,1613,1
1079,1619,1
1085,407,1
1091,1637,1
1093,205,1
1097,823,1
1103,1655,1
1109,13,1
1111,1667,1
1115,1673,1
1121,841,1
1127,1691,1
1129,847,1
1133,425,1
1139,1709,1
1145,859,1
1147,1721,1
1151,1727,1
1157,217,1
1163,1745,1
1169,877,1
1175,1763,1
1181,443,1
1187,1781,1
1193,895,1
1199,1799,1
1201,901,1
1205,113,1
1211,1817,1
1217,913,1
1223,1835,1
1225,919,1
1229,461,1
1235,1853,1
1241,931,1
1247,1871,1
1253,235,1
1255,1883,1
1259,1889,1
1265,949,1
1271,1907,1
1277,479,1
1283,1925,1
1289,967,1
1291,1937,1
1295,1943,1
1301,61,1
1307,1961,1
1309,491,1
1313,985,1
1319,1979,1
1321,991,1
1325,497,1
1331,1997,1
1333,125,1
1337,1003,1
1343,2015,1
1349,253,1
1355,2033,1
1361,1021,1
1363,2045,1
1367,2051,1
1373,515,1
1379,2069,1
1385,1039,1
1391,2087,1
1397,131,1
1403,2105,1
1409,1057,1
1415,2123,1
1417,1063,1
1421,533,1
1427,2141,1
1433,1075,1
1435,2153,1
1439,2159,1
1445,271,1
1451,2177,1
