number,definiteConnectedNumber,optionalConnectedNumber,distanceFromRoot,towerHeight,factorCount,primeFactorization,primeNumberSystem
1,2,,0,0,0,"1",0
2,4,,1,1,1,"2^1",1
3,6,,7,0,1,"3^1",10
4,8,1,2,2,1,"2^2",2
5,10,,5,0,1,"5^1",100
6,12,,8,1,2,"2^1 * 3^1",11
7,14,,16,0,1,"7^1",1000
8,16,,3,3,1,"2^3",3
9,18,,19,0,1,"3^2",20
10,20,3,6,1,2,"2^1 * 5^1",101
11,22,,14,0,1,"11^1",10000
12,24,,9,2,2,"2^2 * 3^1",12
13,26,,9,0,1,"13^1",100000
14,28,,17,1,2,"2^1 * 7^1",1001
15,30,,17,0,2,"3^1 * 5^1",110
16,32,5,4,4,1,"2^4",4
17,34,,12,0,1,"17^1",1000000
18,36,,20,1,2,"2^1 * 3^2",21
19,38,,20,0,1,"19^1",10000000
20,40,,7,2,2,"2^2 * 5^1",102
21,42,,7,0,2,"3^1 * 7^1",1010
22,44,7,15,1,2,"2^1 * 11^1",10001
23,46,,15,0,1,"23^1",100000000
24,48,,10,3,2,"2^3 * 3^1",13
25,50,,23,0,1,"5^2",200
26,52,,10,1,2,"2^1 * 13^1",100001
27,54,,111,0,1,"3^3",30
28,56,9,18,2,2,"2^2 * 7^1",1002
29,58,,18,0,1,"29^1",1000000000
30,60,,18,1,3,"2^1 * 3^1 * 5^1",111
31,62,,106,0,1,"31^1",10000000000
32,64,,5,5,1,"2^5",5
33,66,,26,0,2,"3^1 * 11^1",10010
34,68,11,13,1,2,"2^1 * 17^1",1000001
35,70,,13,0,2,"5^1 * 7^1",1100
36,72,,21,2,2,"2^2 * 3^2",22
37,74,,21,0,1,"37^1",100000000000
38,76,,21,1,2,"2^1 * 19^1",10000001
39,78,,34,0,2,"3^1 * 13^1",100010
40,80,13,8,3,2,"2^3 * 5^1",103
41,82,,109,0,1,"41^1",1000000000000
42,84,,8,1,3,"2^1 * 3^1 * 7^1",1011
43,86,,29,0,1,"43^1",10000000000000
44,88,,16,2,2,"2^2 * 11^1",10002
45,90,,16,0,2,"3^2 * 5^1",120
46,92,15,16,1,2,"2^1 * 23^1",100000001
47,94,,104,0,1,"47^1",100000000000000
48,96,,11,4,2,"2^4 * 3^1",14
49,98,,24,0,1,"7^2",2000
50,100,,24,1,2,"2^1 * 5^2",201
51,102,,24,0,2,"3^1 * 17^1",1000010
52,104,17,11,2,2,"2^2 * 13^1",100002
53,106,,11,0,1,"53^1",1000000000000000
54,108,,112,1,2,"2^1 * 3^3",31
55,110,,112,0,2,"5^1 * 11^1",10100
56,112,,19,3,2,"2^3 * 7^1",1003
57,114,,32,0,2,"3^1 * 19^1",10000010
58,116,19,19,1,2,"2^1 * 29^1",1000000001
59,118,,32,0,1,"59^1",10000000000000000
60,120,,19,2,3,"2^2 * 3^1 * 5^1",112
61,122,,19,0,1,"61^1",100000000000000000
62,124,,107,1,2,"2^1 * 31^1",10000000001
63,126,,107,0,2,"3^2 * 7^1",1020
64,128,21,6,6,1,"2^6",6
65,130,,27,0,2,"5^1 * 13^1",100100
66,132,,27,1,3,"2^1 * 3^1 * 11^1",10011
67,134,,27,0,1,"67^1",1000000000000000000
68,136,,14,2,2,"2^2 * 17^1",1000002
69,138,,14,0,2,"3^1 * 23^1",100000010
70,140,23,14,1,3,"2^1 * 5^1 * 7^1",1101
71,142,,102,0,1,"71^1",10000000000000000000
72,144,,22,3,2,"2^3 * 3^2",23
73,146,,115,0,1,"73^1",100000000000000000000
74,148,,22,1,2,"2^1 * 37^1",100000000001
75,150,,14,0,2,"3^1 * 5^2",210
76,152,25,22,2,2,"2^2 * 19^1",10000002
77,154,,22,0,2,"7^1 * 11^1",11000
78,156,,35,1,3,"2^1 * 3^1 * 13^1",100011
79,158,,35,0,1,"79^1",1000000000000000000000
80,160,,9,4,2,"2^4 * 5^1",104
81,162,,22,0,1,"3^4",40
82,164,27,110,1,2,"2^1 * 41^1",1000000000001
83,166,,110,0,1,"83^1",10000000000000000000000
84,168,,9,2,3,"2^2 * 3^1 * 7^1",1012
85,170,,9,0,2,"5^1 * 17^1",1000100
86,172,,30,1,2,"2^1 * 43^1",10000000000001
87,174,,30,0,2,"3^1 * 29^1",1000000010
88,176,29,17,3,2,"2^3 * 11^1",10003
89,178,,30,0,1,"89^1",100000000000000000000000
90,180,,17,1,3,"2^1 * 3^2 * 5^1",121
91,182,,92,0,2,"7^1 * 13^1",101000
92,184,,17,2,2,"2^2 * 23^1",100000002
93,186,,17,0,2,"3^1 * 31^1",10000000010
94,188,31,105,1,2,"2^1 * 47^1",100000000000001
95,190,,105,0,2,"5^1 * 19^1",10000100
96,192,,12,5,2,"2^5 * 3^1",15
97,194,,118,0,1,"97^1",1000000000000000000000000
98,196,,25,1,2,"2^1 * 7^2",2001
99,198,,25,0,2,"3^2 * 11^1",10020
100,200,33,25,2,2,"2^2 * 5^2",202
101,202,,25,0,1,"101^1",10000000000000000000000000
102,204,,25,1,3,"2^1 * 3^1 * 17^1",1000011
103,206,,87,0,1,"103^1",100000000000000000000000000
104,208,,12,3,2,"2^3 * 13^1",100003
105,210,,38,0,3,"3^1 * 5^1 * 7^1",1110
106,212,35,12,1,2,"2^1 * 53^1",1000000000000001
107,214,,100,0,1,"107^1",1000000000000000000000000000
108,216,,113,2,2,"2^2 * 3^3",32
109,218,,113,0,1,"109^1",10000000000000000000000000000
110,220,,113,1,3,"2^1 * 5^1 * 11^1",10101
111,222,,69,0,2,"3^1 * 37^1",100000000010
112,224,37,20,4,2,"2^4 * 7^1",1004
113,226,,12,0,1,"113^1",100000000000000000000000000000
114,228,,33,1,3,"2^1 * 3^1 * 19^1",10000011
115,230,,33,0,2,"5^1 * 23^1",100000100
116,232,,20,2,2,"2^2 * 29^1",1000000002
117,234,,20,0,2,"3^2 * 13^1",100020
118,236,39,33,1,2,"2^1 * 59^1",10000000000000001
