towerOddCore,maxAttachmentHeight,branchDepth,colorIndex
1,10,0,0
3,0,2,2
5,9,1,1
7,10,5,5
9,0,6,6
11,7,4,4
13,8,2,2
15,0,5,5
17,7,3,3
19,6,6,6
21,0,1,1
23,7,4,4
25,6,7,7
27,0,26,0
29,5,5,5
31,8,24,11
33,0,8,8
35,7,3,3
37,6,6,6
39,0,11,11
41,5,25,12
43,6,9,9
45,0,4,4
47,5,23,10
49,4,7,7
51,0,7,7
53,5,2,2
55,4,26,0
57,0,10,10
59,5,10,10
61,6,5,5
63,0,23,10
65,5,8,8
67,4,8,8
69,0,3,3
71,5,22,9
73,4,27,1
75,0,3,3
77,5,6,6
79,4,11,11
81,0,6,6
83,5,25,12
85,4,1,1
87,0,9,9
89,7,9,9
91,4,18,5
93,0,4,4
95,5,22,9
97,6,28,2
99,0,7,7
101,3,7,7
103,4,16,3
105,0,12,12
107,3,21,8
109,4,26,0
111,0,12,12
113,5,2,2
115,4,10,10
117,0,5,5
119,3,10,10
121,4,19,6
123,0,15,2
125,5,24,11
127,4,10,10
129,0,29,3
131,5,8,8
133,4,8,8
135,0,12,12
137,3,17,4
139,4,13,0
141,0,3,3
143,7,21,8
145,4,27,1
147,0,27,1
149,3,6,6
151,4,3,3
153,0,11,11
155,3,15,2
157,6,11,11
159,0,10,10
161,3,20,7
163,4,6,6
165,0,25,12
167,5,11,11
169,4,11,11
171,0,29,3
173,7,9,9
175,4,13,0
177,0,9,9
179,3,9,9
181,4,4,4
183,0,17,4
185,3,14,1
187,4,13,0
189,0,23,10
191,3,9,9
193,2,28,2
195,0,28,2
197,3,7,7
199,4,25,12
201,0,4,4
203,3,11,11
205,6,7,7
207,0,14,1
209,3,12,12
211,2,12,12
213,0,2,2
215,3,20,7
217,4,7,7
219,0,15,2
221,3,26,0
223,2,11,11
225,0,12,12
227,3,2,2
229,2,10,10
231,0,27,1
233,3,14,1
235,4,27,1
237,0,10,10
239,3,9,9
241,2,5,5
243,0,19,6
245,3,5,5
247,2,14,1
249,0,14,1
251,3,10,10
253,4,23,10
255,0,9,9
257,3,28,2
259,2,29,3
261,0,8,8
263,3,12,12
265,2,26,0
267,0,3,3
269,3,8,8
271,4,11,11
273,0,8,8
275,3,16,3
277,2,3,3
279,0,11,11
281,3,12,12
283,2,10,10
285,0,22,9
287,3,8,8
289,2,8,8
291,0,26,0
293,3,27,1
295,2,15,2
297,0,11,11
299,3,24,11
301,2,3,3
303,0,7,7
305,3,10,10
307,4,11,11
309,0,6,6
311,3,13,0
313,2,28,2
315,0,9,9
317,3,11,11
319,2,9,9
321,0,5,5
323,3,19,6
325,2,6,6
327,0,28,2
329,5,14,1
331,2,5,5
333,0,25,12
335,3,10,10
337,2,24,11
339,0,10,10
341,3,1,1
343,2,29,3
345,0,29,3
347,3,26,0
349,2,9,9
351,0,12,12
353,3,26,0
355,2,9,9
357,0,9,9
359,3,8,8
361,4,12,12
363,0,13,0
365,5,18,5
367,2,11,11
369,0,3,3
371,3,13,0
373,2,4,4
375,0,12,12
377,1,10,10
379,2,14,1
381,0,22,9
383,3,8,8
385,2,8,8
387,0,28,2
389,3,28,2
391,2,26,0
393,0,15,2
395,1,12,12
397,2,7,7
399,0,24,11
401,1,3,3
403,2,4,4
405,0,7,7
407,3,10,10
409,2,12,12
411,0,27,1
413,1,16,3
415,4,26,0
417,0,28,2
419,1,11,11
421,2,12,12
423,0,5,5
425,3,9,9
427,2,14,1
429,0,21,8
431,1,8,8
433,2,6,6
435,0,7,7
437,1,26,0
439,2,14,1
441,0,5,5
443,3,14,1
445,2,12,12
447,0,14,1
449,1,24,11
451,2,11,11
453,0,2,2
455,1,7,7
457,2,29,3
459,0,29,3
461,3,10,10
463,2,27,1
465,0,9,9
467,1,13,0
469,4,5,5
471,0,26,0
473,1,9,9
475,2,4,4
477,0,10,10
479,3,8,8
481,2,13,0
483,0,4,4
485,1,19,6
487,2,28,2
489,0,11,11
491,3,27,1
493,2,15,2
495,0,12,12
497,3,4,4
499,2,14,1
501,0,24,11
503,1,10,10
505,4,14,1
507,0,5,5
509,1,10,10
511,2,11,11
513,0,8,8
515,3,28,2
517,2,29,3
519,0,15,2
521,1,26,0
523,2,27,1
525,0,8,8
527,1,12,12
529,2,7,7
531,0,26,0
533,3,8,8
535,2,4,4
537,0,4,4
539,1,8,8
541,2,12,12
543,0,28,2
545,3,12,12
547,2,7,7
549,0,17,4
551,3,10,10
553,2,27,1
555,0,6,6
557,1,13,0
559,2,15,2
561,0,12,12
563,1,12,12
565,2,3,3
567,0,9,9
569,1,14,1
571,2,5,5
573,0,21,8
575,1,8,8
577,4,6,6
579,0,7,7
581,3,27,1
583,2,3,3
585,0,14,1
587,3,25,12
589,2,27,1
591,0,14,1
593,1,12,12
595,2,11,11
597,0,6,6
599,1,24,11
601,2,11,11
603,0,13,0
605,3,3,3
607,2,8,8
609,0,29,3
611,1,10,10
613,2,11,11
615,0,15,2
617,1,27,1
619,2,27,1
621,0,15,2
623,1,26,0
625,2,6,6
627,0,27,1
629,1,11,11
631,2,9,9
633,0,4,4
635,1,5,5
637,4,10,10
639,0,20,7
641,3,13,0
643,2,5,5
645,0,20,7
647,1,8,8
649,2,28,2
651,0,17,4
653,3,6,6
655,2,27,1
657,0,15,2
659,1,14,1
661,2,25,12
663,0,4,4
665,1,14,1
667,2,23,10
669,0,11,11
671,1,14,1
673,2,15,2
675,0,23,10
677,1,11,11
679,2,13,0
681,0,11,11
683,1,7,7
685,2,29,3
687,0,7,7
689,1,29,3
691,2,29,3
693,0,9,9
695,3,26,0
697,2,27,1
699,0,15,2
701,1,13,0
703,2,18,5
705,0,7,7
707,1,26,0
709,2,9,9
711,0,12,12
713,1,4,4
715,2,5,5
717,0,9,9
719,1,8,8
721,2,12,12
723,0,11,11
725,1,4,4
727,2,12,12
729,0,7,7
731,1,28,2
733,2,17,4
735,0,10,10
737,1,27,1
739,2,3,3
741,0,14,1
743,1,12,12
745,2,15,2
747,0,9,9
749,3,13,0
751,2,23,10
753,0,3,3
755,1,10,10
757,0,23,10
759,0,15,2
761,1,5,5
763,0,29,3
765,0,9,9
767,3,10,10
769,2,7,7
771,0,8,8
773,1,28,2
775,0,28,2
777,0,3,3
779,1,15,2
781,0,28,2
783,0,25,12
785,1,27,1
787,2,15,2
789,0,7,7
791,1,12,12
793,2,11,11
795,0,14,1
